date,long_return,short_return,long_short_return
2019-01-31,0.06006241390959279,0.033833987042842635,0.026228426866750157
2019-02-28,0.045869245085068136,0.039515584548118314,0.006353660536949822
2019-04-30,-0.041585263084065224,-0.1413614438198803,0.09977618073581508
2019-05-31,0.04798113211022572,0.1742289262224302,-0.12624779411220446
2019-07-31,0.027701583561589922,-0.01747332747406586,0.04517491103565578
2019-09-30,0.02233572547838546,0.08909392586253449,-0.06675820038414904
2019-10-31,0.040036159850184196,0.05776215583768006,-0.017725995987495864
2019-12-31,0.01071469121323072,-0.07252619461288431,0.08324088582611504
2020-01-31,-0.00483146290325048,-0.09363739492188129,0.08880593201863081
2020-03-31,0.20891458638397217,0.1652124789809307,0.04370210740304148
2020-04-30,0.09979402266018082,0.034283801873582945,0.06551022078659788
2020-06-30,0.24129686901569972,-0.07032061878727339,0.3116174878029731
2020-07-31,0.256542707060892,0.037518575946681995,0.21902413111420999
2020-08-31,-0.08289021947122839,-0.051075684846715694,-0.0318145346245127
2020-09-30,-0.01593983921628462,-0.06912164807729038,0.05318180886100576
2020-11-30,0.026898790120925255,0.05028237035222564,-0.023383580231300383
2020-12-31,0.0643228732053793,0.03465643020945664,0.029666442995922658
2021-03-31,0.04285031115444316,0.01082593546703502,0.03202437568740814
2021-04-30,-0.0011176922820308396,0.005032354238860741,-0.006150046520891581
2021-06-30,0.004960648843877621,-0.01106674462093446,0.016027393464812082
2021-08-31,-0.023168730831248843,-0.023684407327166163,0.0005156764959173207
2021-09-30,0.0608162155041619,0.03507224598525662,0.02574396951890528
2021-11-30,-0.016862676523576058,0.05273606788540862,-0.06959874440898467
2021-12-31,-0.04359447553671768,-0.08412403966089788,0.0405295641241802
2022-01-31,0.01657796401081556,-0.025737614996745383,0.042315579007560944
2022-02-28,0.09711100914904154,0.05561959070006249,0.04149141844897905
2022-03-31,-0.11717737618128383,-0.2113122621835976,0.09413488600231378
2022-05-31,-0.09011204450892786,-0.06285360844383804,-0.02725843606508982
2022-06-30,0.038920562052763,0.15996998661800713,-0.12104942456524412
2022-08-31,-0.07426541675141006,-0.08260315047297932,0.008337733721569263
2022-09-30,0.19587774771473648,0.053615729797110635,0.14226201791762585
2022-10-31,0.0096312800328421,0.10864854839750056,-0.09901726836465846
2022-11-30,-0.031676014489734935,-0.13857650817343647,0.10690049368370154
2023-01-31,-0.0666670895195728,0.061372226092910855,-0.12803931561248366
2023-02-28,0.0029929065313912206,0.12449536672209924,-0.12150246019070801
2023-03-31,0.064083236841127,-0.0916101590471385,0.1556933958882655
2023-05-31,0.09899401396403743,0.04707824776319422,0.051915766200843205
2023-06-30,0.053563106182843455,0.026563661039398157,0.026999445143445298
2023-07-31,-0.06361179091959024,-0.0219797401358359,-0.04163205078375434
2023-08-31,-0.033486118704666556,-0.06456529196916908,0.03107917326450252
2023-10-31,0.16180413392534757,0.08861020491246799,0.07319392901287958
2023-11-30,-0.01994887932097758,0.08263640611669051,-0.1025852854376681
2024-01-31,0.32508473007478556,0.0071342975088596414,0.3179504325659259
2024-02-29,0.0035249111328295563,0.06312006982849484,-0.059595158695665285
2024-04-30,0.059864139494022195,-0.005545357017196279,0.06540949651121847
2024-05-31,0.048720780816132334,0.0068978355826284,0.04182294523350393
2024-07-31,0.008455585170928315,0.05441809111422523,-0.045962505943296914
2024-09-30,0.07386999716656494,-0.010441003244964341,0.08431100041152928
2024-10-31,0.15006009569685402,0.06343944927650336,0.08662064642035067
2024-12-31,0.02302153678376794,0.04418099116297862,-0.021159454379210678
2025-01-31,-0.07979314821722742,0.010304898741951804,-0.09009804695917922
2025-02-28,-0.005518094468964379,-0.06228317118500237,0.05676507671603799
2025-03-31,0.12685101366358836,-0.058240622913613496,0.18509163657720185
2025-04-30,0.1024645739964638,0.06275962191850187,0.03970495207796193
2025-06-30,0.011898869719466095,-0.0176957884673976,0.029594658186863694
2025-07-31,-0.02724839959372442,0.11590447008408669,-0.1431528696778111
2025-09-30,0.042888446516567355,0.047357214393892795,-0.00446876787732544
2025-10-31,-0.0026531101894649,-0.015704926757038083,0.013051816567573182
